username,row,total_selected_owned,count__bgg_golden_age_canon,count__amerithrash_miniatures_lcg,count__dungeon_crawl_cooperative_campaign_adventure,count__current_heavy_euro_engine_builders,count__historical_wargames_conflict_strategy,count__party_family_social_deduction,count__puzzle_nature_tableau_builders,count__medium_worker_placement_euros,count__cooperative_trick_taking_deduction,count__roll_and_write_number_dice_games,count__legacy_narrative_mystery,count__other,share__bgg_golden_age_canon,share__amerithrash_miniatures_lcg,share__dungeon_crawl_cooperative_campaign_adventure,share__current_heavy_euro_engine_builders,share__historical_wargames_conflict_strategy,share__party_family_social_deduction,share__puzzle_nature_tableau_builders,share__medium_worker_placement_euros,share__cooperative_trick_taking_deduction,share__roll_and_write_number_dice_games,share__legacy_narrative_mystery,share__other,dominant_dimension,dominant_share,included_share,profile_entropy_norm,n_active_dimensions,eligible_for_archetype,dominant_taste_dimension,dominant_taste_share,archetype,archetype_family
Biscotti,17,72,24,3,0,0,25,3,0,4,1,0,0,12,0.33333334,0.041666668,0.0,0.0,0.3472222,0.041666668,0.0,0.055555556,0.013888889,0.0,0.0,0.16666667,historical_wargames_conflict_strategy,0.3472222,0.8333333,0.610458,7,True,historical_wargames_conflict_strategy,0.3472222,leaning__historical_wargames_conflict_strategy,leaning
dontnickme,18,14,0,3,4,1,0,3,0,0,0,0,0,3,0.0,0.21428572,0.2857143,0.071428575,0.0,0.21428572,0.0,0.0,0.0,0.0,0.0,0.21428572,dungeon_crawl_cooperative_campaign_adventure,0.2857143,0.78571427,0.618423,5,False,dungeon_crawl_cooperative_campaign_adventure,0.2857143,insufficient_selected_owned,insufficient_selected_owned
Lord_Baer,19,71,15,14,6,1,7,5,0,11,1,0,3,8,0.2112676,0.1971831,0.08450704,0.014084507,0.09859155,0.07042254,0.0,0.15492958,0.014084507,0.0,0.04225352,0.112676054,bgg_golden_age_canon,0.2112676,0.887324,0.829546,10,True,bgg_golden_age_canon,0.2112676,generalist,generalist
x_AMK_x,20,266,36,42,15,26,23,10,9,61,5,1,2,36,0.13533835,0.15789473,0.05639098,0.09774436,0.08646616,0.037593983,0.033834588,0.22932331,0.018796992,0.0037593986,0.007518797,0.13533835,medium_worker_placement_euros,0.22932331,0.86466163,0.862,12,True,medium_worker_placement_euros,0.22932331,generalist,generalist
ultimoratio,21,59,15,4,1,0,19,4,0,1,5,0,0,10,0.2542373,0.06779661,0.016949153,0.0,0.3220339,0.06779661,0.0,0.016949153,0.084745765,0.0,0.0,0.16949153,historical_wargames_conflict_strategy,0.3220339,0.8305085,0.694677,8,True,historical_wargames_conflict_strategy,0.3220339,leaning__historical_wargames_conflict_strategy,leaning
jrhameister,22,74,9,11,4,3,2,6,4,10,1,0,1,23,0.12162162,0.14864865,0.054054055,0.04054054,0.027027028,0.08108108,0.054054055,0.13513513,0.013513514,0.0,0.013513514,0.3108108,other,0.3108108,0.6891892,0.819454,11,True,amerithrash_miniatures_lcg,0.14864865,other_dominant_mixed,other_dominant
scrooks,23,62,3,2,2,0,1,10,15,0,7,0,1,21,0.048387095,0.032258064,0.032258064,0.0,0.016129032,0.16129032,0.24193548,0.0,0.11290322,0.0,0.016129032,0.33870968,other,0.33870968,0.6612903,0.704972,9,True,puzzle_nature_tableau_builders,0.24193548,other_dominant_mixed,other_dominant
milkcalsium,24,10,0,0,0,2,0,0,1,2,1,0,1,3,0.0,0.0,0.0,0.2,0.0,0.0,0.1,0.2,0.1,0.0,0.1,0.3,other,0.3,0.7,0.682417,6,False,current_heavy_euro_engine_builders,0.2,insufficient_selected_owned,insufficient_selected_owned
multiks2389,25,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dungeon_crawl_cooperative_campaign_adventure,1.0,1.0,0.0,1,False,dungeon_crawl_cooperative_campaign_adventure,1.0,insufficient_selected_owned,insufficient_selected_owned
radekebr,26,1,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,current_heavy_euro_engine_builders,1.0,1.0,0.0,1,False,current_heavy_euro_engine_builders,1.0,insufficient_selected_owned,insufficient_selected_owned
m_cichosz,27,72,4,4,5,3,6,6,6,1,5,0,1,31,0.055555556,0.055555556,0.06944445,0.041666668,0.083333336,0.083333336,0.083333336,0.013888889,0.06944445,0.0,0.013888889,0.43055555,other,0.43055555,0.5694444,0.775427,11,True,historical_wargames_conflict_strategy,0.083333336,other_dominant_mixed,other_dominant
ionas,28,142,24,34,13,3,8,22,0,1,4,1,4,28,0.16901408,0.23943663,0.09154929,0.02112676,0.056338027,0.15492958,0.0,0.0070422534,0.028169014,0.0070422534,0.028169014,0.1971831,amerithrash_miniatures_lcg,0.23943663,0.80281687,0.798871,11,True,amerithrash_miniatures_lcg,0.23943663,generalist,generalist
Adjet76,29,21,0,1,0,5,2,3,0,0,2,2,3,3,0.0,0.04761905,0.0,0.23809524,0.0952381,0.14285715,0.0,0.0,0.0952381,0.0952381,0.14285715,0.14285715,current_heavy_euro_engine_builders,0.23809524,0.85714287,0.80182,8,True,current_heavy_euro_engine_builders,0.23809524,generalist,generalist
