username,row,total_selected_owned,count__bgg_golden_age_canon,count__amerithrash_miniatures_lcg,count__dungeon_crawl_cooperative_campaign_adventure,count__current_heavy_euro_engine_builders,count__historical_wargames_conflict_strategy,count__party_family_social_deduction,count__puzzle_nature_tableau_builders,count__medium_worker_placement_euros,count__cooperative_trick_taking_deduction,count__roll_and_write_number_dice_games,count__legacy_narrative_mystery,count__other,share__bgg_golden_age_canon,share__amerithrash_miniatures_lcg,share__dungeon_crawl_cooperative_campaign_adventure,share__current_heavy_euro_engine_builders,share__historical_wargames_conflict_strategy,share__party_family_social_deduction,share__puzzle_nature_tableau_builders,share__medium_worker_placement_euros,share__cooperative_trick_taking_deduction,share__roll_and_write_number_dice_games,share__legacy_narrative_mystery,share__other,dominant_dimension,dominant_share,included_share,profile_entropy_norm,n_active_dimensions,eligible_for_archetype,dominant_taste_dimension,dominant_taste_share,archetype,archetype_family
MerrittMan71,1282,57,2,7,4,5,0,2,2,1,4,0,1,29,0.03508772,0.12280702,0.07017544,0.0877193,0.0,0.03508772,0.03508772,0.01754386,0.07017544,0.0,0.01754386,0.50877196,other,0.50877196,0.49122804,0.676961,10,True,amerithrash_miniatures_lcg,0.12280702,other_dominant_low_coverage,other_dominant
Meryrock,1283,50,5,1,2,8,0,2,4,2,3,3,0,20,0.1,0.02,0.04,0.16,0.0,0.04,0.08,0.04,0.06,0.06,0.0,0.4,other,0.4,0.6,0.762266,10,True,current_heavy_euro_engine_builders,0.16,other_dominant_mixed,other_dominant
Mhindimith,1284,360,21,8,19,116,2,12,30,24,5,16,5,102,0.058333334,0.022222223,0.05277778,0.32222223,0.0055555557,0.033333335,0.083333336,0.06666667,0.013888889,0.044444446,0.013888889,0.28333333,current_heavy_euro_engine_builders,0.32222223,0.7166667,0.770595,12,True,current_heavy_euro_engine_builders,0.32222223,generalist,generalist
Michlou,1285,144,5,4,5,29,2,11,22,11,8,9,0,38,0.034722224,0.027777778,0.034722224,0.2013889,0.013888889,0.07638889,0.15277778,0.07638889,0.055555556,0.0625,0.0,0.2638889,other,0.2638889,0.7361111,0.837222,11,True,current_heavy_euro_engine_builders,0.2013889,other_dominant_mixed,other_dominant
Miguelpas,1286,279,25,14,4,60,6,27,15,32,16,7,6,67,0.089605734,0.050179213,0.014336918,0.21505377,0.021505376,0.09677419,0.05376344,0.11469534,0.05734767,0.025089607,0.021505376,0.24014337,other,0.24014337,0.75985664,0.866556,12,True,current_heavy_euro_engine_builders,0.21505377,other_dominant_mixed,other_dominant
mikelong91,1287,39,2,0,0,9,0,6,2,2,1,1,0,16,0.051282052,0.0,0.0,0.23076923,0.0,0.15384616,0.051282052,0.051282052,0.025641026,0.025641026,0.0,0.41025642,other,0.41025642,0.5897436,0.658674,8,True,current_heavy_euro_engine_builders,0.23076923,other_dominant_mixed,other_dominant
mikemar,1288,130,2,1,29,32,1,6,16,0,5,1,2,35,0.015384615,0.0076923077,0.22307692,0.24615385,0.0076923077,0.046153847,0.12307692,0.0,0.03846154,0.0076923077,0.015384615,0.26923078,other,0.26923078,0.7307692,0.723926,11,True,current_heavy_euro_engine_builders,0.24615385,other_dominant_mixed,other_dominant
mikeyxote,1289,96,2,4,40,1,1,5,7,0,9,2,1,24,0.020833334,0.041666668,0.41666666,0.010416667,0.010416667,0.052083332,0.072916664,0.0,0.09375,0.020833334,0.010416667,0.25,dungeon_crawl_cooperative_campaign_adventure,0.41666666,0.75,0.689947,11,True,dungeon_crawl_cooperative_campaign_adventure,0.41666666,specialist__dungeon_crawl_cooperative_campaign_adventure,specialist
miljenko,1290,153,22,26,3,12,36,7,0,8,4,2,4,29,0.14379086,0.16993465,0.019607844,0.078431375,0.23529412,0.045751635,0.0,0.052287582,0.026143791,0.013071896,0.026143791,0.18954249,historical_wargames_conflict_strategy,0.23529412,0.8104575,0.827051,11,True,historical_wargames_conflict_strategy,0.23529412,generalist,generalist
Millesime,1291,74,1,3,15,16,5,0,4,13,2,0,3,12,0.013513514,0.04054054,0.2027027,0.21621622,0.067567565,0.0,0.054054055,0.17567568,0.027027028,0.0,0.04054054,0.16216215,current_heavy_euro_engine_builders,0.21621622,0.8378378,0.809129,10,True,current_heavy_euro_engine_builders,0.21621622,generalist,generalist
Mincewind,1292,263,8,8,23,14,3,29,44,2,29,0,1,102,0.03041825,0.03041825,0.08745247,0.05323194,0.0114068445,0.11026616,0.16730037,0.0076045627,0.11026616,0.0,0.0038022813,0.3878327,other,0.3878327,0.6121673,0.741978,11,True,puzzle_nature_tableau_builders,0.16730037,other_dominant_mixed,other_dominant
MiroForti,1293,42,1,2,4,9,3,1,2,5,0,0,1,14,0.023809524,0.04761905,0.0952381,0.21428572,0.071428575,0.023809524,0.04761905,0.11904762,0.0,0.0,0.023809524,0.33333334,other,0.33333334,0.6666666,0.772277,10,True,current_heavy_euro_engine_builders,0.21428572,other_dominant_mixed,other_dominant
Mithrandir88,1294,75,5,0,0,27,5,1,5,9,0,2,0,21,0.06666667,0.0,0.0,0.36,0.06666667,0.013333334,0.06666667,0.12,0.0,0.026666667,0.0,0.28,current_heavy_euro_engine_builders,0.36,0.72,0.673861,8,True,current_heavy_euro_engine_builders,0.36,leaning__current_heavy_euro_engine_builders,leaning
Mixike,1295,242,5,7,16,83,2,12,19,4,12,1,4,77,0.020661157,0.02892562,0.0661157,0.3429752,0.008264462,0.049586777,0.0785124,0.016528925,0.049586777,0.004132231,0.016528925,0.3181818,current_heavy_euro_engine_builders,0.3429752,0.6818182,0.720045,12,True,current_heavy_euro_engine_builders,0.3429752,leaning__current_heavy_euro_engine_builders,leaning
Mizusano,1296,27,3,0,3,1,0,3,2,0,3,0,2,10,0.11111111,0.0,0.11111111,0.037037037,0.0,0.11111111,0.074074075,0.0,0.11111111,0.0,0.074074075,0.37037036,other,0.37037036,0.6296296,0.745327,8,True,bgg_golden_age_canon,0.11111111,other_dominant_mixed,other_dominant
mjgklitsie,1297,61,2,0,9,2,0,7,2,1,2,1,1,34,0.032786883,0.0,0.14754099,0.032786883,0.0,0.114754096,0.032786883,0.016393442,0.032786883,0.016393442,0.016393442,0.55737704,other,0.55737704,0.44262296,0.606451,10,True,dungeon_crawl_cooperative_campaign_adventure,0.14754099,other_dominant_low_coverage,other_dominant
MokoJoe,1298,33,2,2,1,2,1,2,2,0,5,0,0,16,0.060606062,0.060606062,0.030303031,0.060606062,0.030303031,0.060606062,0.060606062,0.0,0.15151516,0.0,0.0,0.4848485,other,0.4848485,0.5151515,0.683456,9,True,cooperative_trick_taking_deduction,0.15151516,other_dominant_mixed,other_dominant
Mokwai84,1299,211,4,5,15,47,0,9,14,4,7,10,20,76,0.018957347,0.023696683,0.07109005,0.22274882,0.0,0.04265403,0.06635071,0.018957347,0.033175357,0.047393367,0.09478673,0.3601896,other,0.3601896,0.63981044,0.774548,11,True,current_heavy_euro_engine_builders,0.22274882,other_dominant_mixed,other_dominant
Morgollie,1300,52,10,0,2,1,21,2,0,4,0,4,0,8,0.1923077,0.0,0.03846154,0.01923077,0.40384614,0.03846154,0.0,0.07692308,0.0,0.07692308,0.0,0.15384616,historical_wargames_conflict_strategy,0.40384614,0.84615386,0.681076,8,True,historical_wargames_conflict_strategy,0.40384614,specialist__historical_wargames_conflict_strategy,specialist
Mr Jummy,1301,163,28,5,29,22,2,5,3,15,12,6,0,36,0.17177914,0.030674847,0.17791411,0.13496932,0.012269938,0.030674847,0.018404908,0.09202454,0.073619634,0.036809817,0.0,0.2208589,other,0.2208589,0.77914107,0.840292,11,True,dungeon_crawl_cooperative_campaign_adventure,0.17791411,other_dominant_mixed,other_dominant
mrboolf,1302,123,4,3,24,45,7,3,3,6,1,1,2,24,0.032520324,0.024390243,0.19512194,0.36585367,0.05691057,0.024390243,0.024390243,0.048780486,0.008130081,0.008130081,0.016260162,0.19512194,current_heavy_euro_engine_builders,0.36585367,0.80487806,0.742242,12,True,current_heavy_euro_engine_builders,0.36585367,leaning__current_heavy_euro_engine_builders,leaning
mrister,1303,116,29,8,2,2,37,0,2,6,9,0,0,21,0.25,0.06896552,0.01724138,0.01724138,0.31896552,0.0,0.01724138,0.05172414,0.077586204,0.0,0.0,0.18103448,historical_wargames_conflict_strategy,0.31896552,0.81896555,0.710864,9,True,historical_wargames_conflict_strategy,0.31896552,leaning__historical_wargames_conflict_strategy,leaning
MrYeti,1304,166,9,1,11,28,0,3,38,8,11,1,0,56,0.05421687,0.006024096,0.06626506,0.16867469,0.0,0.018072288,0.22891566,0.04819277,0.06626506,0.006024096,0.0,0.33734939,other,0.33734939,0.6626506,0.725295,10,True,puzzle_nature_tableau_builders,0.22891566,other_dominant_mixed,other_dominant
msubjenkins,1305,88,1,10,9,2,10,13,1,0,12,0,3,27,0.011363637,0.11363637,0.10227273,0.022727273,0.11363637,0.14772727,0.011363637,0.0,0.13636364,0.0,0.03409091,0.3068182,other,0.3068182,0.6931818,0.783576,10,True,party_family_social_deduction,0.14772727,other_dominant_mixed,other_dominant
mufasa_92,1306,82,6,7,9,4,4,5,4,3,10,2,1,27,0.07317073,0.085365854,0.1097561,0.048780486,0.048780486,0.06097561,0.048780486,0.036585364,0.12195122,0.024390243,0.0121951215,0.3292683,other,0.3292683,0.67073166,0.862896,12,True,cooperative_trick_taking_deduction,0.12195122,other_dominant_mixed,other_dominant
Mujikf,1307,17,0,0,0,5,0,4,0,0,0,0,0,8,0.0,0.0,0.0,0.29411766,0.0,0.23529412,0.0,0.0,0.0,0.0,0.0,0.47058824,other,0.47058824,0.5294118,0.424604,3,True,current_heavy_euro_engine_builders,0.29411766,other_dominant_mixed,other_dominant
N0DramaLlama,1308,105,3,0,26,17,0,3,11,2,1,0,0,42,0.028571429,0.0,0.24761905,0.16190477,0.0,0.028571429,0.104761906,0.01904762,0.00952381,0.0,0.0,0.4,other,0.4,0.6,0.630296,8,True,dungeon_crawl_cooperative_campaign_adventure,0.24761905,other_dominant_mixed,other_dominant
nagulian,1309,49,10,1,2,1,0,14,3,2,0,3,1,12,0.20408164,0.020408163,0.040816326,0.020408163,0.0,0.2857143,0.06122449,0.040816326,0.0,0.06122449,0.020408163,0.24489796,party_family_social_deduction,0.2857143,0.75510204,0.751832,10,True,party_family_social_deduction,0.2857143,generalist,generalist
Namydolem,1310,27,0,0,11,6,6,1,0,0,0,0,0,3,0.0,0.0,0.4074074,0.22222222,0.22222222,0.037037037,0.0,0.0,0.0,0.0,0.0,0.11111111,dungeon_crawl_cooperative_campaign_adventure,0.4074074,0.8888889,0.563607,5,True,dungeon_crawl_cooperative_campaign_adventure,0.4074074,specialist__dungeon_crawl_cooperative_campaign_adventure,specialist
nater1045,1311,171,14,9,12,1,2,33,20,6,10,2,8,54,0.081871346,0.05263158,0.07017544,0.0058479533,0.0116959065,0.19298245,0.116959065,0.03508772,0.058479533,0.0116959065,0.046783626,0.31578946,other,0.31578946,0.68421054,0.82085,12,True,party_family_social_deduction,0.19298245,other_dominant_mixed,other_dominant
NathanEverett,1312,110,2,6,14,15,0,12,18,2,4,0,0,37,0.018181818,0.054545455,0.12727273,0.13636364,0.0,0.10909091,0.16363636,0.018181818,0.036363635,0.0,0.0,0.33636364,other,0.33636364,0.6636363,0.749863,9,True,puzzle_nature_tableau_builders,0.16363636,other_dominant_mixed,other_dominant
NCGreenGal,1313,76,23,3,3,1,6,11,1,2,6,0,0,20,0.3026316,0.039473683,0.039473683,0.013157895,0.078947365,0.14473684,0.013157895,0.02631579,0.078947365,0.0,0.0,0.2631579,bgg_golden_age_canon,0.3026316,0.7368421,0.74793,10,True,bgg_golden_age_canon,0.3026316,leaning__bgg_golden_age_canon,leaning
Nchampou,1314,66,2,1,16,19,0,0,2,0,3,2,0,21,0.030303031,0.015151516,0.24242425,0.28787878,0.0,0.0,0.030303031,0.0,0.045454547,0.030303031,0.0,0.3181818,other,0.3181818,0.6818182,0.639142,8,True,current_heavy_euro_engine_builders,0.28787878,other_dominant_mixed,other_dominant
nekra6666,1315,66,12,4,0,10,1,7,2,15,1,2,0,12,0.18181819,0.060606062,0.0,0.15151516,0.015151516,0.10606061,0.030303031,0.22727273,0.015151516,0.030303031,0.0,0.18181819,medium_worker_placement_euros,0.22727273,0.8181818,0.800553,10,True,medium_worker_placement_euros,0.22727273,generalist,generalist
Nemesis_Rex,1316,215,1,39,55,30,0,4,7,9,5,7,6,52,0.004651163,0.18139535,0.25581396,0.13953489,0.0,0.018604651,0.03255814,0.041860465,0.023255814,0.03255814,0.027906977,0.24186046,dungeon_crawl_cooperative_campaign_adventure,0.25581396,0.75813955,0.772185,11,True,dungeon_crawl_cooperative_campaign_adventure,0.25581396,generalist,generalist
netfilterz,1317,140,29,18,11,35,7,3,3,13,2,1,1,17,0.20714286,0.12857144,0.07857143,0.25,0.05,0.021428572,0.021428572,0.092857145,0.014285714,0.007142857,0.007142857,0.12142857,current_heavy_euro_engine_builders,0.25,0.87857145,0.828514,12,True,current_heavy_euro_engine_builders,0.25,generalist,generalist
Neugierskalle,1318,171,22,2,6,32,1,8,21,5,5,13,2,54,0.12865497,0.0116959065,0.03508772,0.1871345,0.0058479533,0.046783626,0.12280702,0.029239766,0.029239766,0.07602339,0.0116959065,0.31578946,other,0.31578946,0.68421054,0.803401,12,True,current_heavy_euro_engine_builders,0.1871345,other_dominant_mixed,other_dominant
nick0d3mus,1319,81,1,1,3,20,0,2,7,1,1,2,2,41,0.012345679,0.012345679,0.037037037,0.24691358,0.0,0.024691358,0.086419754,0.012345679,0.012345679,0.024691358,0.024691358,0.50617284,other,0.50617284,0.49382716,0.609622,11,True,current_heavy_euro_engine_builders,0.24691358,other_dominant_low_coverage,other_dominant
NickFTFW,1320,265,7,13,15,59,3,19,29,25,22,3,5,65,0.026415095,0.049056605,0.056603774,0.22264151,0.011320755,0.071698114,0.109433964,0.094339624,0.08301887,0.011320755,0.018867925,0.24528302,other,0.24528302,0.754717,0.854096,12,True,current_heavy_euro_engine_builders,0.22264151,other_dominant_mixed,other_dominant
nietendon,1321,13,0,0,7,1,0,1,0,0,0,0,0,4,0.0,0.0,0.53846157,0.07692308,0.0,0.07692308,0.0,0.0,0.0,0.0,0.0,0.30769232,dungeon_crawl_cooperative_campaign_adventure,0.53846157,0.6923077,0.438889,4,False,dungeon_crawl_cooperative_campaign_adventure,0.53846157,insufficient_selected_owned,insufficient_selected_owned
Nilcraban,1322,195,15,5,18,34,0,11,18,14,4,13,3,60,0.07692308,0.025641026,0.092307694,0.17435898,0.0,0.056410257,0.092307694,0.071794875,0.020512821,0.06666667,0.015384615,0.30769232,other,0.30769232,0.6923077,0.834675,11,True,current_heavy_euro_engine_builders,0.17435898,other_dominant_mixed,other_dominant
Nin_ni,1323,31,7,4,2,0,0,1,4,4,0,3,0,6,0.22580644,0.12903225,0.06451613,0.0,0.0,0.032258064,0.12903225,0.12903225,0.0,0.09677419,0.0,0.19354838,bgg_golden_age_canon,0.22580644,0.8064516,0.788814,8,True,bgg_golden_age_canon,0.22580644,generalist,generalist
noael,1324,83,3,0,8,22,0,0,15,3,1,0,0,31,0.036144577,0.0,0.09638554,0.26506025,0.0,0.0,0.18072289,0.036144577,0.012048192,0.0,0.0,0.37349397,other,0.37349397,0.62650603,0.622841,7,True,current_heavy_euro_engine_builders,0.26506025,other_dominant_mixed,other_dominant
noktus,1325,55,7,1,3,11,0,5,3,1,1,1,0,22,0.12727273,0.018181818,0.054545455,0.2,0.0,0.09090909,0.054545455,0.018181818,0.018181818,0.018181818,0.0,0.4,other,0.4,0.6,0.715325,10,True,current_heavy_euro_engine_builders,0.2,other_dominant_mixed,other_dominant
nowinskp,1326,58,5,9,4,3,3,4,5,1,4,0,2,18,0.0862069,0.15517241,0.06896552,0.05172414,0.05172414,0.06896552,0.0862069,0.01724138,0.06896552,0.0,0.03448276,0.31034482,other,0.31034482,0.6896552,0.853401,11,True,amerithrash_miniatures_lcg,0.15517241,other_dominant_mixed,other_dominant
Noxiss,1327,108,2,14,7,12,1,5,8,10,2,2,2,43,0.018518519,0.12962963,0.06481481,0.11111111,0.009259259,0.046296295,0.074074075,0.09259259,0.018518519,0.018518519,0.018518519,0.39814815,other,0.39814815,0.6018518,0.783612,12,True,amerithrash_miniatures_lcg,0.12962963,other_dominant_mixed,other_dominant
nunomendonca,1328,76,3,0,0,8,0,10,7,0,5,0,0,43,0.039473683,0.0,0.0,0.10526316,0.0,0.13157895,0.09210526,0.0,0.065789476,0.0,0.0,0.56578946,other,0.56578946,0.43421054,0.544224,6,True,party_family_social_deduction,0.13157895,other_dominant_low_coverage,other_dominant
Nuttycomputer,1329,63,5,13,4,0,1,14,1,0,5,0,6,14,0.07936508,0.20634921,0.06349207,0.0,0.015873017,0.22222222,0.015873017,0.0,0.07936508,0.0,0.0952381,0.22222222,party_family_social_deduction,0.22222222,0.7777778,0.775408,9,True,party_family_social_deduction,0.22222222,generalist,generalist
nwrex,1330,91,4,2,7,7,0,6,26,2,3,2,0,32,0.043956045,0.021978023,0.07692308,0.07692308,0.0,0.06593407,0.2857143,0.021978023,0.032967035,0.021978023,0.0,0.35164836,other,0.35164836,0.64835167,0.724731,10,True,puzzle_nature_tableau_builders,0.2857143,other_dominant_mixed,other_dominant
obelonzky,1331,404,56,55,26,13,10,54,12,27,22,5,4,120,0.13861386,0.13613862,0.06435644,0.03217822,0.024752475,0.13366337,0.02970297,0.066831686,0.054455444,0.012376238,0.00990099,0.2970297,other,0.2970297,0.70297027,0.844068,12,True,bgg_golden_age_canon,0.13861386,other_dominant_mixed,other_dominant
Obiblion,1332,25,0,3,11,1,0,0,0,0,0,0,0,10,0.0,0.12,0.44,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,dungeon_crawl_cooperative_campaign_adventure,0.44,0.6,0.447073,4,True,dungeon_crawl_cooperative_campaign_adventure,0.44,specialist__dungeon_crawl_cooperative_campaign_adventure,specialist
Obja,1333,42,3,1,6,1,0,2,3,0,2,4,1,19,0.071428575,0.023809524,0.14285715,0.023809524,0.0,0.04761905,0.071428575,0.0,0.04761905,0.0952381,0.023809524,0.45238096,other,0.45238096,0.54761904,0.722244,10,True,dungeon_crawl_cooperative_campaign_adventure,0.14285715,other_dominant_mixed,other_dominant
Oleg91,1334,80,3,6,8,7,1,9,4,2,5,1,0,34,0.0375,0.075,0.1,0.0875,0.0125,0.1125,0.05,0.025,0.0625,0.0125,0.0,0.425,other,0.425,0.575,0.762649,11,True,party_family_social_deduction,0.1125,other_dominant_mixed,other_dominant
optmsprim2,1335,242,5,8,24,27,40,13,18,8,27,0,5,67,0.020661157,0.03305785,0.09917355,0.11157025,0.16528925,0.053719006,0.07438017,0.03305785,0.11157025,0.0,0.020661157,0.2768595,other,0.2768595,0.7231405,0.848209,11,True,historical_wargames_conflict_strategy,0.16528925,other_dominant_mixed,other_dominant
OrigamiGoblin,1336,92,2,6,3,4,2,8,16,0,11,3,2,35,0.02173913,0.06521739,0.032608695,0.04347826,0.02173913,0.08695652,0.17391305,0.0,0.11956522,0.032608695,0.02173913,0.38043478,other,0.38043478,0.61956525,0.774884,11,True,puzzle_nature_tableau_builders,0.17391305,other_dominant_mixed,other_dominant
Orvenwolf,1337,59,15,1,0,2,7,3,3,2,8,1,0,17,0.2542373,0.016949153,0.0,0.033898305,0.118644066,0.050847456,0.050847456,0.033898305,0.13559322,0.016949153,0.0,0.2881356,other,0.2881356,0.7118644,0.765081,10,True,bgg_golden_age_canon,0.2542373,other_dominant_mixed,other_dominant
oskarmonk,1338,451,44,17,13,84,4,11,64,47,17,15,10,125,0.09756097,0.037694015,0.028824834,0.18625277,0.0088691795,0.024390243,0.14190687,0.10421286,0.037694015,0.033259425,0.022172948,0.27716187,other,0.27716187,0.72283816,0.840259,12,True,current_heavy_euro_engine_builders,0.18625277,other_dominant_mixed,other_dominant
otroarlequin,1339,108,2,10,8,7,2,10,6,0,7,0,4,52,0.018518519,0.09259259,0.074074075,0.06481481,0.018518519,0.09259259,0.055555556,0.0,0.06481481,0.0,0.037037037,0.4814815,other,0.4814815,0.5185185,0.712476,10,True,amerithrash_miniatures_lcg,0.09259259,other_dominant_mixed,other_dominant
P3t3 th3 H3at,1340,307,30,16,7,61,37,6,16,24,21,2,3,84,0.09771987,0.052117262,0.022801302,0.19869708,0.12052117,0.019543974,0.052117262,0.078175895,0.06840391,0.0065146578,0.009771987,0.27361563,other,0.27361563,0.7263844,0.840993,12,True,current_heavy_euro_engine_builders,0.19869708,other_dominant_mixed,other_dominant
painkiller,1341,242,27,16,10,21,8,26,28,24,9,4,9,60,0.11157025,0.0661157,0.041322313,0.08677686,0.03305785,0.10743801,0.11570248,0.09917355,0.037190083,0.016528925,0.037190083,0.24793388,other,0.24793388,0.75206614,0.90852,12,True,puzzle_nature_tableau_builders,0.11570248,other_dominant_mixed,other_dominant
papadjango,1342,84,5,3,1,33,1,1,3,19,0,0,1,17,0.05952381,0.035714287,0.011904762,0.39285713,0.011904762,0.011904762,0.035714287,0.22619048,0.0,0.0,0.011904762,0.20238096,current_heavy_euro_engine_builders,0.39285713,0.79761904,0.661403,10,True,current_heavy_euro_engine_builders,0.39285713,leaning__current_heavy_euro_engine_builders,leaning
PapaPolski,1343,139,1,4,24,3,2,5,21,1,10,2,4,62,0.007194245,0.02877698,0.17266187,0.021582734,0.01438849,0.035971224,0.15107913,0.007194245,0.07194245,0.01438849,0.02877698,0.44604316,other,0.44604316,0.55395687,0.699386,12,True,dungeon_crawl_cooperative_campaign_adventure,0.17266187,other_dominant_mixed,other_dominant
PapaReally,1344,117,7,11,29,8,1,15,11,0,8,1,0,26,0.05982906,0.094017096,0.24786325,0.06837607,0.008547009,0.12820514,0.094017096,0.0,0.06837607,0.008547009,0.0,0.22222222,dungeon_crawl_cooperative_campaign_adventure,0.24786325,0.7777778,0.806735,10,True,dungeon_crawl_cooperative_campaign_adventure,0.24786325,generalist,generalist
PappyGarcia,1345,107,16,10,3,5,3,17,7,7,5,2,0,32,0.1495327,0.093457945,0.028037382,0.046728972,0.028037382,0.1588785,0.06542056,0.06542056,0.046728972,0.018691588,0.0,0.2990654,other,0.2990654,0.7009346,0.835783,11,True,party_family_social_deduction,0.1588785,other_dominant_mixed,other_dominant
parabolic,1346,91,6,9,13,6,7,3,1,15,1,0,7,23,0.06593407,0.0989011,0.14285715,0.06593407,0.07692308,0.032967035,0.010989011,0.16483517,0.010989011,0.0,0.07692308,0.25274727,other,0.25274727,0.7472527,0.8517,11,True,medium_worker_placement_euros,0.16483517,other_dominant_mixed,other_dominant
paulrbolton,1347,106,6,10,8,21,3,3,5,8,1,3,2,36,0.056603774,0.094339624,0.0754717,0.1981132,0.028301887,0.028301887,0.047169812,0.0754717,0.009433962,0.028301887,0.018867925,0.33962265,other,0.33962265,0.6603774,0.816303,12,True,current_heavy_euro_engine_builders,0.1981132,other_dominant_mixed,other_dominant
paulyjones25,1348,622,50,27,22,97,82,40,57,83,15,22,3,124,0.08038585,0.04340836,0.035369776,0.15594855,0.1318328,0.06430868,0.09163987,0.13344051,0.024115756,0.035369776,0.004823151,0.19935691,other,0.19935691,0.8006431,0.898797,12,True,current_heavy_euro_engine_builders,0.15594855,other_dominant_mixed,other_dominant
pbice,1349,85,11,4,4,3,33,6,2,1,11,1,1,8,0.12941177,0.047058824,0.047058824,0.03529412,0.3882353,0.07058824,0.023529412,0.011764706,0.12941177,0.011764706,0.011764706,0.09411765,historical_wargames_conflict_strategy,0.3882353,0.90588236,0.787476,12,True,historical_wargames_conflict_strategy,0.3882353,leaning__historical_wargames_conflict_strategy,leaning
pencil1994,1350,41,5,1,0,1,0,5,3,0,8,2,1,15,0.12195122,0.024390243,0.0,0.024390243,0.0,0.12195122,0.07317073,0.0,0.19512194,0.048780486,0.024390243,0.36585367,other,0.36585367,0.63414633,0.728532,9,True,cooperative_trick_taking_deduction,0.19512194,other_dominant_mixed,other_dominant
Pepeloko,1351,120,9,10,9,9,1,8,10,2,8,0,3,51,0.075,0.083333336,0.075,0.075,0.008333334,0.06666667,0.083333336,0.016666668,0.06666667,0.0,0.025,0.425,other,0.425,0.575,0.77349,11,True,amerithrash_miniatures_lcg,0.083333336,other_dominant_mixed,other_dominant
pet78,1352,49,2,3,7,3,1,2,2,5,1,1,2,20,0.040816326,0.06122449,0.14285715,0.06122449,0.020408163,0.040816326,0.040816326,0.10204082,0.020408163,0.020408163,0.040816326,0.40816328,other,0.40816328,0.5918367,0.796475,12,True,dungeon_crawl_cooperative_campaign_adventure,0.14285715,other_dominant_mixed,other_dominant
petresacrieru,1353,95,2,2,7,4,0,8,8,1,7,2,1,53,0.021052632,0.021052632,0.07368421,0.042105265,0.0,0.08421053,0.08421053,0.010526316,0.07368421,0.021052632,0.010526316,0.55789477,other,0.55789477,0.44210523,0.643781,11,True,party_family_social_deduction,0.08421053,other_dominant_low_coverage,other_dominant
phillycheeeeez,1354,90,2,6,5,13,5,8,6,0,11,0,0,34,0.022222223,0.06666667,0.055555556,0.14444445,0.055555556,0.08888889,0.06666667,0.0,0.12222222,0.0,0.0,0.37777779,other,0.37777779,0.6222222,0.759018,9,True,current_heavy_euro_engine_builders,0.14444445,other_dominant_mixed,other_dominant
pikkuvarvas,1355,79,3,7,7,4,1,9,9,5,7,2,1,24,0.03797468,0.088607594,0.088607594,0.050632913,0.012658228,0.11392405,0.11392405,0.06329114,0.088607594,0.025316456,0.012658228,0.30379745,other,0.30379745,0.6962025,0.867131,12,True,party_family_social_deduction,0.11392405,other_dominant_mixed,other_dominant
PolishNinja,1356,79,0,7,16,7,22,0,2,1,0,0,1,23,0.0,0.088607594,0.20253165,0.088607594,0.278481,0.0,0.025316456,0.012658228,0.0,0.0,0.012658228,0.29113925,other,0.29113925,0.70886075,0.672804,8,True,historical_wargames_conflict_strategy,0.278481,other_dominant_mixed,other_dominant
PotapoBob,1357,5,1,0,0,1,0,0,0,0,0,0,0,3,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,other,0.6,0.39999998,0.382417,3,False,bgg_golden_age_canon,0.2,insufficient_selected_owned,insufficient_selected_owned
potatoaaa,1358,37,0,10,5,3,2,3,2,2,0,0,0,10,0.0,0.27027026,0.13513513,0.08108108,0.054054055,0.08108108,0.054054055,0.054054055,0.0,0.0,0.0,0.27027026,amerithrash_miniatures_lcg,0.27027026,0.7297298,0.747807,8,True,amerithrash_miniatures_lcg,0.27027026,leaning__amerithrash_miniatures_lcg,leaning
poypoyking,1359,173,2,14,22,56,9,3,17,3,3,2,2,40,0.011560693,0.08092485,0.12716763,0.3236994,0.05202312,0.01734104,0.098265894,0.01734104,0.01734104,0.011560693,0.011560693,0.23121387,current_heavy_euro_engine_builders,0.3236994,0.76878613,0.771383,12,True,current_heavy_euro_engine_builders,0.3236994,generalist,generalist
ProtectorKorii,1360,34,1,0,7,0,0,2,7,2,1,0,0,14,0.029411765,0.0,0.20588236,0.0,0.0,0.05882353,0.20588236,0.05882353,0.029411765,0.0,0.0,0.4117647,other,0.4117647,0.58823526,0.626537,7,True,dungeon_crawl_cooperative_campaign_adventure,0.20588236,other_dominant_mixed,other_dominant
Psychobob99,1361,179,8,17,18,13,7,19,4,3,7,0,13,70,0.044692736,0.09497207,0.10055866,0.0726257,0.039106146,0.10614525,0.022346368,0.016759777,0.039106146,0.0,0.0726257,0.39106146,other,0.39106146,0.6089386,0.799472,11,True,party_family_social_deduction,0.10614525,other_dominant_mixed,other_dominant
Pyckle,1362,103,13,7,7,0,3,13,8,2,13,3,3,31,0.1262136,0.067961164,0.067961164,0.0,0.029126214,0.1262136,0.0776699,0.019417476,0.1262136,0.029126214,0.029126214,0.30097088,other,0.30097088,0.6990291,0.842908,11,True,bgg_golden_age_canon,0.1262136,other_dominant_mixed,other_dominant
