username,row,total_selected_owned,other_owned_count,included_share,dominant_taste_dimension,dominant_taste_share,top_other_community_type,top_other_community_type_count,top_other_community_type_share,top_other_manual_label,top_other_manual_label_count,top_other_manual_label_share
nightmarizm,2952,247,104,0.57894737,current_heavy_euro_engine_builders,0.18218623,temporal_artifact,71,0.6826923076923077,Recent releases / new-hotness cluster,71,0.6826923076923077
kiko2k,4812,822,226,0.7250608,current_heavy_euro_engine_builders,0.12530413,temporal_artifact,70,0.30973451327433627,Recent releases / new-hotness cluster,70,0.30973451327433627
Polgara21,3093,462,130,0.7186147,current_heavy_euro_engine_builders,0.12987013,temporal_artifact,70,0.5384615384615384,Recent releases / new-hotness cluster,70,0.5384615384615384
DrCordero,4281,298,130,0.5637584,dungeon_crawl_cooperative_campaign_adventure,0.16442953,temporal_artifact,70,0.5384615384615384,Recent releases / new-hotness cluster,70,0.5384615384615384
ilPiolo,1172,397,129,0.675063,current_heavy_euro_engine_builders,0.15869017,temporal_artifact,70,0.5426356589147286,Recent releases / new-hotness cluster,70,0.5426356589147286
LordYazos,2716,281,102,0.6370107,current_heavy_euro_engine_builders,0.23131673,temporal_artifact,70,0.6862745098039216,Recent releases / new-hotness cluster,70,0.6862745098039216
Rschlutz,3222,178,90,0.49438202,puzzle_nature_tableau_builders,0.13483146,temporal_artifact,70,0.7777777777777778,Recent releases / new-hotness cluster,70,0.7777777777777778
max_ra,5003,382,123,0.67801046,bgg_golden_age_canon,0.17277487,temporal_artifact,69,0.5609756097560976,Recent releases / new-hotness cluster,69,0.5609756097560976
ERock,4354,241,99,0.5892116,puzzle_nature_tableau_builders,0.13278009,temporal_artifact,69,0.696969696969697,Recent releases / new-hotness cluster,69,0.696969696969697
thEndCFS,1446,360,143,0.6027778,party_family_social_deduction,0.11666667,temporal_artifact,68,0.4755244755244755,Recent releases / new-hotness cluster,68,0.4755244755244755
AferimCarabin,3782,422,114,0.7298578,current_heavy_euro_engine_builders,0.22274882,temporal_artifact,68,0.5964912280701754,Recent releases / new-hotness cluster,68,0.5964912280701754
bLeusher,1752,241,93,0.61410785,current_heavy_euro_engine_builders,0.26556018,temporal_artifact,68,0.7311827956989247,Recent releases / new-hotness cluster,68,0.7311827956989247
boglesby,1764,696,195,0.7198276,dungeon_crawl_cooperative_campaign_adventure,0.12212644,bridge_cluster,67,0.3435897435897436,Recent releases / new-hotness cluster,54,0.27692307692307694
Angelo83,5140,491,147,0.700611,amerithrash_miniatures_lcg,0.10183299,temporal_artifact,66,0.4489795918367347,Recent releases / new-hotness cluster,66,0.4489795918367347
Dinamita2005,4253,297,106,0.64309764,amerithrash_miniatures_lcg,0.124579124,temporal_artifact,66,0.6226415094339622,Recent releases / new-hotness cluster,66,0.6226415094339622
Loneronin21,4917,227,106,0.5330397,puzzle_nature_tableau_builders,0.14096916,temporal_artifact,66,0.6226415094339622,Recent releases / new-hotness cluster,66,0.6226415094339622
aypexa,5316,252,100,0.60317457,current_heavy_euro_engine_builders,0.23809524,temporal_artifact,66,0.66,Recent releases / new-hotness cluster,66,0.66
guardiansOTboardgame,4527,212,83,0.6084906,current_heavy_euro_engine_builders,0.3773585,temporal_artifact,66,0.7951807228915663,Recent releases / new-hotness cluster,66,0.7951807228915663
Brooster,4023,422,132,0.68720376,puzzle_nature_tableau_builders,0.15876777,temporal_artifact,65,0.49242424242424243,Recent releases / new-hotness cluster,65,0.49242424242424243
Famazar,5497,518,131,0.7471043,current_heavy_euro_engine_builders,0.15250966,temporal_artifact,65,0.4961832061068702,Recent releases / new-hotness cluster,65,0.4961832061068702
Pozman,835,856,191,0.7768692,bgg_golden_age_canon,0.20327103,temporal_artifact,64,0.33507853403141363,Recent releases / new-hotness cluster,64,0.33507853403141363
le_asmo,2669,695,173,0.75107914,current_heavy_euro_engine_builders,0.14244604,temporal_artifact,64,0.3699421965317919,Recent releases / new-hotness cluster,64,0.3699421965317919
shizzane,438,398,131,0.6708543,puzzle_nature_tableau_builders,0.13819095,temporal_artifact,64,0.48854961832061067,Recent releases / new-hotness cluster,64,0.48854961832061067
Fletchdizzle,482,323,129,0.6006192,dungeon_crawl_cooperative_campaign_adventure,0.1764706,temporal_artifact,64,0.49612403100775193,Recent releases / new-hotness cluster,64,0.49612403100775193
fidgetyrain,4387,299,105,0.64882946,puzzle_nature_tableau_builders,0.17391305,temporal_artifact,64,0.6095238095238096,Recent releases / new-hotness cluster,64,0.6095238095238096
cherry227,5496,290,104,0.6413793,puzzle_nature_tableau_builders,0.21724138,temporal_artifact,64,0.6153846153846154,Recent releases / new-hotness cluster,64,0.6153846153846154
bluesol,3987,596,148,0.7516779,current_heavy_euro_engine_builders,0.14261745,bridge_cluster,63,0.42567567567567566,Recent releases / new-hotness cluster,33,0.22297297297297297
Lecaro,251,319,110,0.6551724,current_heavy_euro_engine_builders,0.10344828,temporal_artifact,63,0.5727272727272728,Recent releases / new-hotness cluster,63,0.5727272727272728
wolverine1977,3670,526,177,0.6634981,current_heavy_euro_engine_builders,0.10646388,bridge_cluster,62,0.3502824858757062,Recent releases / new-hotness cluster,45,0.2542372881355932
andremozena,3837,199,90,0.5477387,current_heavy_euro_engine_builders,0.16080402,temporal_artifact,62,0.6888888888888889,Recent releases / new-hotness cluster,62,0.6888888888888889
kyvvv,4866,240,88,0.6333333,current_heavy_euro_engine_builders,0.225,temporal_artifact,62,0.7045454545454546,Recent releases / new-hotness cluster,62,0.7045454545454546
Ico77,4609,651,177,0.7281106,current_heavy_euro_engine_builders,0.15053764,bridge_cluster,61,0.3446327683615819,Recent releases / new-hotness cluster,60,0.3389830508474576
quetzalt,1364,904,157,0.82632744,historical_wargames_conflict_strategy,0.17035398,bridge_cluster,61,0.3885350318471338,Recent releases / new-hotness cluster,39,0.2484076433121019
Moonerium_Boardgame,2882,285,97,0.65964913,dungeon_crawl_cooperative_campaign_adventure,0.14035088,temporal_artifact,61,0.6288659793814433,Recent releases / new-hotness cluster,61,0.6288659793814433
Fess_,5066,335,93,0.722388,bgg_golden_age_canon,0.19104478,temporal_artifact,61,0.6559139784946236,Recent releases / new-hotness cluster,61,0.6559139784946236
gandalfszalony,485,585,160,0.72649574,current_heavy_euro_engine_builders,0.23931624,temporal_artifact,60,0.375,Recent releases / new-hotness cluster,60,0.375
Tondy_cz,574,601,158,0.73710483,current_heavy_euro_engine_builders,0.13976705,temporal_artifact,60,0.379746835443038,Recent releases / new-hotness cluster,60,0.379746835443038
jimz50,4702,573,153,0.7329843,bgg_golden_age_canon,0.17102967,temporal_artifact,60,0.39215686274509803,Recent releases / new-hotness cluster,60,0.39215686274509803
mapolupo,4972,344,133,0.6133721,party_family_social_deduction,0.13372093,temporal_artifact,60,0.45112781954887216,Recent releases / new-hotness cluster,60,0.45112781954887216
maggeno1,1255,362,109,0.69889504,current_heavy_euro_engine_builders,0.1519337,temporal_artifact,60,0.5504587155963303,Recent releases / new-hotness cluster,60,0.5504587155963303
j0_0,5073,212,84,0.6037736,cooperative_trick_taking_deduction,0.13207547,temporal_artifact,60,0.7142857142857143,Recent releases / new-hotness cluster,60,0.7142857142857143
Rui_,5074,212,84,0.6037736,cooperative_trick_taking_deduction,0.13207547,temporal_artifact,60,0.7142857142857143,Recent releases / new-hotness cluster,60,0.7142857142857143
ChrisWWK,1861,432,152,0.6481482,party_family_social_deduction,0.1388889,temporal_artifact,59,0.3881578947368421,Recent releases / new-hotness cluster,59,0.3881578947368421
ritajesus,1375,483,142,0.70600414,current_heavy_euro_engine_builders,0.19461697,temporal_artifact,59,0.4154929577464789,Recent releases / new-hotness cluster,59,0.4154929577464789
