archetype_family,n_users,eligible_users,pct_all_users,pct_eligible_users,median_selected_owned,mean_selected_owned,mean_included_share,median_included_share,mean_entropy,median_entropy,mean_dominant_share,median_dominant_share
other_dominant,3221,3221,0.5852107558139535,0.6284878048780488,97.0,129.2024216081962,0.6512247471903136,0.6666666,0.7611526221670288,0.776934,0.34877525234399254,0.33333334
generalist,723,723,0.13135901162790697,0.1410731707317073,134.0,173.21438450899032,0.8131599495988934,0.81182796,0.8092156182572614,0.804843,0.2581578643706777,0.2555066
leaning,634,634,0.11518895348837209,0.12370731707317073,65.0,87.92271293375394,0.7952666947003154,0.79310346,0.6903380899053628,0.7016629999999999,0.333842391340694,0.34021276
specialist,524,524,0.09520348837209303,0.10224390243902438,51.0,73.1793893129771,0.8625327488167939,0.87356323,0.5471595534351146,0.5663075,0.5253389581106871,0.49025934
mixed,23,23,0.0041787790697674415,0.00448780487804878,41.0,67.47826086956522,0.8218637813043479,0.8145161,0.7194005652173914,0.730232,0.22685551260869563,0.22727273
insufficient_selected_owned,379,0,0.06885901162790697,0.0,7.0,7.506596306068602,0.704077053292876,0.78571427,0.3825573245382586,0.418414,0.5828191862796834,0.5
