username,row,total_selected_owned,count__bgg_golden_age_canon,count__amerithrash_miniatures_lcg,count__dungeon_crawl_cooperative_campaign_adventure,count__current_heavy_euro_engine_builders,count__historical_wargames_conflict_strategy,count__party_family_social_deduction,count__puzzle_nature_tableau_builders,count__medium_worker_placement_euros,count__cooperative_trick_taking_deduction,count__roll_and_write_number_dice_games,count__legacy_narrative_mystery,count__other,share__bgg_golden_age_canon,share__amerithrash_miniatures_lcg,share__dungeon_crawl_cooperative_campaign_adventure,share__current_heavy_euro_engine_builders,share__historical_wargames_conflict_strategy,share__party_family_social_deduction,share__puzzle_nature_tableau_builders,share__medium_worker_placement_euros,share__cooperative_trick_taking_deduction,share__roll_and_write_number_dice_games,share__legacy_narrative_mystery,share__other,dominant_dimension,dominant_share,included_share,profile_entropy_norm,n_active_dimensions
Lottor,1247,97,1,1,10,6,0,7,14,5,2,8,4,39,0.010309278,0.010309278,0.10309278,0.06185567,0.0,0.072164945,0.14432989,0.05154639,0.020618556,0.082474224,0.041237112,0.40206185,other,0.40206185,0.5979382,0.7671440023698664,11
LuciusVorenus,1248,83,11,1,6,8,1,5,11,6,2,7,0,25,0.13253012,0.012048192,0.072289154,0.09638554,0.012048192,0.060240965,0.13253012,0.072289154,0.024096385,0.084337346,0.0,0.30120483,other,0.30120483,0.6987952,0.8356314245059326,11
Ludde81,1249,72,8,4,1,1,0,5,11,4,2,5,4,27,0.11111111,0.055555556,0.013888889,0.013888889,0.0,0.06944445,0.15277778,0.055555556,0.027777778,0.06944445,0.055555556,0.375,other,0.375,0.625,0.7925838366471687,11
lupecazaril,1250,111,6,12,8,5,2,16,3,3,9,1,5,41,0.054054055,0.10810811,0.072072074,0.045045044,0.018018018,0.14414415,0.027027028,0.027027028,0.08108108,0.009009009,0.045045044,0.36936936,other,0.36936936,0.6306306,0.8160535015003242,12
luudva,1251,89,10,6,13,5,8,7,5,4,1,1,2,27,0.11235955,0.06741573,0.14606741,0.056179777,0.08988764,0.07865169,0.056179777,0.04494382,0.011235955,0.011235955,0.02247191,0.30337077,other,0.30337077,0.6966292,0.8595604341588399,12
madvixeninabox,1252,16,1,1,1,0,0,2,3,2,1,0,0,5,0.0625,0.0625,0.0625,0.0,0.0,0.125,0.1875,0.125,0.0625,0.0,0.0,0.3125,other,0.3125,0.6875,0.7607379773938606,8
maertenl,1253,146,62,11,2,5,8,8,5,6,2,7,4,26,0.42465752,0.07534247,0.01369863,0.034246575,0.05479452,0.05479452,0.034246575,0.04109589,0.01369863,0.047945205,0.02739726,0.1780822,bgg_golden_age_canon,0.42465752,0.8219178,0.7678735810345791,12
Magallope,1254,107,5,4,10,39,4,3,5,6,4,0,1,26,0.046728972,0.037383176,0.093457945,0.36448598,0.037383176,0.028037382,0.046728972,0.056074765,0.037383176,0.0,0.009345794,0.24299066,current_heavy_euro_engine_builders,0.36448598,0.7570093,0.7619877310626161,11
maggeno1,1255,362,29,13,36,55,9,35,15,13,14,9,25,109,0.0801105,0.0359116,0.09944751,0.1519337,0.024861878,0.09668508,0.041436464,0.0359116,0.038674034,0.024861878,0.06906077,0.30110496,other,0.30110496,0.69889504,0.8733849136308472,12
magicmarshall,1256,101,1,13,28,1,0,15,10,0,2,0,0,31,0.00990099,0.12871288,0.27722773,0.00990099,0.0,0.14851485,0.0990099,0.0,0.01980198,0.0,0.0,0.3069307,other,0.3069307,0.69306934,0.6693663091609178,8
MagnaGara,1257,154,6,2,6,30,1,3,16,19,9,2,0,60,0.038961038,0.012987013,0.038961038,0.19480519,0.0064935065,0.019480519,0.103896104,0.12337662,0.058441557,0.012987013,0.0,0.38961038,other,0.38961038,0.6103896,0.732588560491516,11
magnus1515,1258,264,10,19,40,90,10,4,24,14,6,3,1,43,0.03787879,0.071969695,0.15151516,0.3409091,0.03787879,0.015151516,0.09090909,0.053030305,0.022727273,0.011363637,0.003787879,0.16287878,current_heavy_euro_engine_builders,0.3409091,0.83712125,0.7971966179036212,12
MagRes,1259,25,9,0,0,1,2,3,0,2,1,0,0,7,0.36,0.0,0.0,0.04,0.08,0.12,0.0,0.08,0.04,0.0,0.0,0.28,bgg_golden_age_canon,0.36,0.72,0.6600985301024481,7
magroader,1260,144,11,12,11,1,3,20,18,4,12,2,4,46,0.07638889,0.083333336,0.07638889,0.0069444445,0.020833334,0.1388889,0.125,0.027777778,0.083333336,0.013888889,0.027777778,0.31944445,other,0.31944445,0.6805556,0.8368030295920462,12
MandorOfSawall,1261,38,1,6,3,6,0,6,3,0,0,0,0,13,0.02631579,0.15789473,0.078947365,0.15789473,0.0,0.15789473,0.078947365,0.0,0.0,0.0,0.0,0.34210527,other,0.34210527,0.65789473,0.6993864947119435,7
manissimus,1262,53,3,5,0,9,0,6,3,1,2,1,1,22,0.056603774,0.094339624,0.0,0.16981132,0.0,0.11320755,0.056603774,0.018867925,0.03773585,0.018867925,0.018867925,0.41509435,other,0.41509435,0.5849056,0.727955678402573,10
manylock,1263,137,21,15,20,1,14,24,3,2,2,3,1,31,0.15328467,0.10948905,0.1459854,0.00729927,0.10218978,0.17518248,0.02189781,0.01459854,0.01459854,0.02189781,0.00729927,0.22627737,other,0.22627737,0.77372265,0.8240379935203228,12
Marctimmins89,1264,49,3,2,17,4,0,6,2,2,0,2,0,11,0.06122449,0.040816326,0.3469388,0.08163265,0.0,0.12244898,0.040816326,0.040816326,0.0,0.040816326,0.0,0.2244898,dungeon_crawl_cooperative_campaign_adventure,0.3469388,0.7755102,0.7475415170104748,9
MarioRuetz,1265,45,4,1,3,1,1,5,3,0,6,4,0,17,0.08888889,0.022222223,0.06666667,0.022222223,0.022222223,0.11111111,0.06666667,0.0,0.13333334,0.08888889,0.0,0.37777779,other,0.37777779,0.6222222,0.7749489301511735,10
marLONE,1266,107,3,4,9,25,0,10,10,2,7,2,4,31,0.028037382,0.037383176,0.08411215,0.23364486,0.0,0.093457945,0.093457945,0.018691588,0.06542056,0.018691588,0.037383176,0.2897196,other,0.2897196,0.7102804,0.8141124998712947,11
Mars1234,1267,46,1,1,7,2,10,2,0,1,2,0,6,14,0.02173913,0.02173913,0.1521739,0.04347826,0.2173913,0.04347826,0.0,0.02173913,0.04347826,0.0,0.13043478,0.3043478,other,0.3043478,0.6956522,0.7664888303667112,10
martis08,1268,68,2,3,8,8,0,2,7,1,1,0,4,32,0.029411765,0.04411765,0.11764706,0.11764706,0.0,0.029411765,0.10294118,0.014705882,0.014705882,0.0,0.05882353,0.47058824,other,0.47058824,0.5294118,0.6954748918986421,10
marujinho,1269,487,26,11,33,97,22,12,71,42,13,8,9,143,0.05338809,0.02258727,0.06776181,0.19917865,0.04517454,0.024640657,0.14579055,0.0862423,0.026694044,0.016427105,0.018480493,0.2936345,other,0.2936345,0.70636547,0.8317729281880176,12
Masternamer,1270,152,13,3,13,19,18,8,5,16,8,4,3,42,0.08552632,0.019736841,0.08552632,0.125,0.118421055,0.05263158,0.032894738,0.10526316,0.05263158,0.02631579,0.019736841,0.27631578,other,0.27631578,0.7236842,0.8847401089741,12
mateusz_,1271,134,12,10,3,11,7,14,8,3,11,1,1,53,0.08955224,0.07462686,0.02238806,0.08208955,0.052238807,0.104477614,0.05970149,0.02238806,0.08208955,0.0074626864,0.0074626864,0.3955224,other,0.3955224,0.60447764,0.8003281261175739,12
matthew1980,1272,117,15,4,18,15,10,6,7,6,2,0,1,33,0.12820514,0.034188036,0.15384616,0.12820514,0.08547009,0.051282052,0.05982906,0.051282052,0.017094018,0.0,0.008547009,0.2820513,other,0.2820513,0.7179487,0.8373342864392996,11
mattwood1221,1273,198,22,2,10,20,5,22,20,5,17,6,7,62,0.11111111,0.01010101,0.05050505,0.1010101,0.025252525,0.11111111,0.1010101,0.025252525,0.08585858,0.030303031,0.035353534,0.3131313,other,0.3131313,0.68686867,0.8583464206337726,12
mbroui,1274,143,9,3,6,24,4,9,21,9,5,5,1,47,0.062937066,0.02097902,0.04195804,0.16783217,0.027972028,0.062937066,0.14685315,0.062937066,0.034965035,0.034965035,0.006993007,0.32867134,other,0.32867134,0.67132866,0.8259954020341058,12
mbullynvk,1275,35,8,0,0,3,0,5,0,1,2,4,0,12,0.22857143,0.0,0.0,0.08571429,0.0,0.14285715,0.0,0.028571429,0.057142857,0.114285715,0.0,0.34285715,other,0.34285715,0.6571429,0.6865250801856299,7
MdeMarty,1276,51,3,1,3,5,1,3,6,2,2,1,1,23,0.05882353,0.019607844,0.05882353,0.09803922,0.019607844,0.05882353,0.11764706,0.039215688,0.039215688,0.019607844,0.019607844,0.4509804,other,0.4509804,0.5490196,0.7650021843093213,12
medpey77,1277,102,5,16,13,5,4,5,1,21,1,0,7,24,0.04901961,0.15686275,0.12745099,0.04901961,0.039215688,0.04901961,0.009803922,0.20588236,0.009803922,0.0,0.068627454,0.23529412,other,0.23529412,0.7647059,0.8306031460890989,11
Meep_Lord,1278,41,2,0,1,0,0,2,9,0,3,1,0,23,0.048780486,0.0,0.024390243,0.0,0.0,0.048780486,0.2195122,0.0,0.07317073,0.024390243,0.0,0.5609756,other,0.5609756,0.4390244,0.5329408556612925,7
MeepLady,1279,41,2,0,1,0,0,2,9,0,3,1,0,23,0.048780486,0.0,0.024390243,0.0,0.0,0.048780486,0.2195122,0.0,0.07317073,0.024390243,0.0,0.5609756,other,0.5609756,0.4390244,0.5329408556612925,7
meimbatman,1280,78,2,4,8,9,0,11,11,1,2,0,4,26,0.025641026,0.051282052,0.102564104,0.115384616,0.0,0.14102565,0.14102565,0.012820513,0.025641026,0.0,0.051282052,0.33333334,other,0.33333334,0.6666666,0.7846633890457255,10
Mekenzi,1281,174,7,21,13,31,15,12,14,10,0,1,1,49,0.040229887,0.12068965,0.07471264,0.17816092,0.0862069,0.06896552,0.08045977,0.057471264,0.0,0.0057471264,0.0057471264,0.2816092,other,0.2816092,0.7183908,0.8307854448085826,11
MerrittMan71,1282,57,2,7,4,5,0,2,2,1,4,0,1,29,0.03508772,0.12280702,0.07017544,0.0877193,0.0,0.03508772,0.03508772,0.01754386,0.07017544,0.0,0.01754386,0.50877196,other,0.50877196,0.49122804,0.6769610177346519,10
Meryrock,1283,50,5,1,2,8,0,2,4,2,3,3,0,20,0.1,0.02,0.04,0.16,0.0,0.04,0.08,0.04,0.06,0.06,0.0,0.4,other,0.4,0.6,0.7622664562100373,10
Mhindimith,1284,360,21,8,19,116,2,12,30,24,5,16,5,102,0.058333334,0.022222223,0.05277778,0.32222223,0.0055555557,0.033333335,0.083333336,0.06666667,0.013888889,0.044444446,0.013888889,0.28333333,current_heavy_euro_engine_builders,0.32222223,0.7166667,0.770595444836513,12
Michlou,1285,144,5,4,5,29,2,11,22,11,8,9,0,38,0.034722224,0.027777778,0.034722224,0.2013889,0.013888889,0.07638889,0.15277778,0.07638889,0.055555556,0.0625,0.0,0.2638889,other,0.2638889,0.7361111,0.8372218369133865,11
Miguelpas,1286,279,25,14,4,60,6,27,15,32,16,7,6,67,0.089605734,0.050179213,0.014336918,0.21505377,0.021505376,0.09677419,0.05376344,0.11469534,0.05734767,0.025089607,0.021505376,0.24014337,other,0.24014337,0.75985664,0.8665555238655142,12
mikelong91,1287,39,2,0,0,9,0,6,2,2,1,1,0,16,0.051282052,0.0,0.0,0.23076923,0.0,0.15384616,0.051282052,0.051282052,0.025641026,0.025641026,0.0,0.41025642,other,0.41025642,0.5897436,0.658674345343155,8
mikemar,1288,130,2,1,29,32,1,6,16,0,5,1,2,35,0.015384615,0.0076923077,0.22307692,0.24615385,0.0076923077,0.046153847,0.12307692,0.0,0.03846154,0.0076923077,0.015384615,0.26923078,other,0.26923078,0.7307692,0.7239256773683017,11
mikeyxote,1289,96,2,4,40,1,1,5,7,0,9,2,1,24,0.020833334,0.041666668,0.41666666,0.010416667,0.010416667,0.052083332,0.072916664,0.0,0.09375,0.020833334,0.010416667,0.25,dungeon_crawl_cooperative_campaign_adventure,0.41666666,0.75,0.6899471149904229,11
miljenko,1290,153,22,26,3,12,36,7,0,8,4,2,4,29,0.14379086,0.16993465,0.019607844,0.078431375,0.23529412,0.045751635,0.0,0.052287582,0.026143791,0.013071896,0.026143791,0.18954249,historical_wargames_conflict_strategy,0.23529412,0.8104575,0.8270507197265277,11
Millesime,1291,74,1,3,15,16,5,0,4,13,2,0,3,12,0.013513514,0.04054054,0.2027027,0.21621622,0.067567565,0.0,0.054054055,0.17567568,0.027027028,0.0,0.04054054,0.16216215,current_heavy_euro_engine_builders,0.21621622,0.8378378,0.8091287407206929,10
Mincewind,1292,263,8,8,23,14,3,29,44,2,29,0,1,102,0.03041825,0.03041825,0.08745247,0.05323194,0.0114068445,0.11026616,0.16730037,0.0076045627,0.11026616,0.0,0.0038022813,0.3878327,other,0.3878327,0.6121673,0.741978335771998,11
MiroForti,1293,42,1,2,4,9,3,1,2,5,0,0,1,14,0.023809524,0.04761905,0.0952381,0.21428572,0.071428575,0.023809524,0.04761905,0.11904762,0.0,0.0,0.023809524,0.33333334,other,0.33333334,0.6666666,0.7722767667369725,10
Mithrandir88,1294,75,5,0,0,27,5,1,5,9,0,2,0,21,0.06666667,0.0,0.0,0.36,0.06666667,0.013333334,0.06666667,0.12,0.0,0.026666667,0.0,0.28,current_heavy_euro_engine_builders,0.36,0.72,0.6738611719298727,8
Mixike,1295,242,5,7,16,83,2,12,19,4,12,1,4,77,0.020661157,0.02892562,0.0661157,0.3429752,0.008264462,0.049586777,0.0785124,0.016528925,0.049586777,0.004132231,0.016528925,0.3181818,current_heavy_euro_engine_builders,0.3429752,0.6818182,0.7200454011507432,12
Mizusano,1296,27,3,0,3,1,0,3,2,0,3,0,2,10,0.11111111,0.0,0.11111111,0.037037037,0.0,0.11111111,0.074074075,0.0,0.11111111,0.0,0.074074075,0.37037036,other,0.37037036,0.6296296,0.7453265875687475,8
mjgklitsie,1297,61,2,0,9,2,0,7,2,1,2,1,1,34,0.032786883,0.0,0.14754099,0.032786883,0.0,0.114754096,0.032786883,0.016393442,0.032786883,0.016393442,0.016393442,0.55737704,other,0.55737704,0.44262296,0.6064513750926914,10
MokoJoe,1298,33,2,2,1,2,1,2,2,0,5,0,0,16,0.060606062,0.060606062,0.030303031,0.060606062,0.030303031,0.060606062,0.060606062,0.0,0.15151516,0.0,0.0,0.4848485,other,0.4848485,0.5151515,0.6834556494829961,9
Mokwai84,1299,211,4,5,15,47,0,9,14,4,7,10,20,76,0.018957347,0.023696683,0.07109005,0.22274882,0.0,0.04265403,0.06635071,0.018957347,0.033175357,0.047393367,0.09478673,0.3601896,other,0.3601896,0.63981044,0.774548016888351,11
Morgollie,1300,52,10,0,2,1,21,2,0,4,0,4,0,8,0.1923077,0.0,0.03846154,0.01923077,0.40384614,0.03846154,0.0,0.07692308,0.0,0.07692308,0.0,0.15384616,historical_wargames_conflict_strategy,0.40384614,0.84615386,0.6810763153803027,8
Mr Jummy,1301,163,28,5,29,22,2,5,3,15,12,6,0,36,0.17177914,0.030674847,0.17791411,0.13496932,0.012269938,0.030674847,0.018404908,0.09202454,0.073619634,0.036809817,0.0,0.2208589,other,0.2208589,0.77914107,0.8402919392428815,11
mrboolf,1302,123,4,3,24,45,7,3,3,6,1,1,2,24,0.032520324,0.024390243,0.19512194,0.36585367,0.05691057,0.024390243,0.024390243,0.048780486,0.008130081,0.008130081,0.016260162,0.19512194,current_heavy_euro_engine_builders,0.36585367,0.80487806,0.7422417094483048,12
mrister,1303,116,29,8,2,2,37,0,2,6,9,0,0,21,0.25,0.06896552,0.01724138,0.01724138,0.31896552,0.0,0.01724138,0.05172414,0.077586204,0.0,0.0,0.18103448,historical_wargames_conflict_strategy,0.31896552,0.81896555,0.7108640220906394,9
MrYeti,1304,166,9,1,11,28,0,3,38,8,11,1,0,56,0.05421687,0.006024096,0.06626506,0.16867469,0.0,0.018072288,0.22891566,0.04819277,0.06626506,0.006024096,0.0,0.33734939,other,0.33734939,0.6626506,0.7252950285917079,10
msubjenkins,1305,88,1,10,9,2,10,13,1,0,12,0,3,27,0.011363637,0.11363637,0.10227273,0.022727273,0.11363637,0.14772727,0.011363637,0.0,0.13636364,0.0,0.03409091,0.3068182,other,0.3068182,0.6931818,0.7835760251573523,10
mufasa_92,1306,82,6,7,9,4,4,5,4,3,10,2,1,27,0.07317073,0.085365854,0.1097561,0.048780486,0.048780486,0.06097561,0.048780486,0.036585364,0.12195122,0.024390243,0.0121951215,0.3292683,other,0.3292683,0.67073166,0.8628960209919199,12
Mujikf,1307,17,0,0,0,5,0,4,0,0,0,0,0,8,0.0,0.0,0.0,0.29411766,0.0,0.23529412,0.0,0.0,0.0,0.0,0.0,0.47058824,other,0.47058824,0.5294118,0.4246041327797627,3
N0DramaLlama,1308,105,3,0,26,17,0,3,11,2,1,0,0,42,0.028571429,0.0,0.24761905,0.16190477,0.0,0.028571429,0.104761906,0.01904762,0.00952381,0.0,0.0,0.4,other,0.4,0.6,0.6302959036811222,8
nagulian,1309,49,10,1,2,1,0,14,3,2,0,3,1,12,0.20408164,0.020408163,0.040816326,0.020408163,0.0,0.2857143,0.06122449,0.040816326,0.0,0.06122449,0.020408163,0.24489796,party_family_social_deduction,0.2857143,0.75510204,0.7518321092669135,10
Namydolem,1310,27,0,0,11,6,6,1,0,0,0,0,0,3,0.0,0.0,0.4074074,0.22222222,0.22222222,0.037037037,0.0,0.0,0.0,0.0,0.0,0.11111111,dungeon_crawl_cooperative_campaign_adventure,0.4074074,0.8888889,0.5636070982794991,5
nater1045,1311,171,14,9,12,1,2,33,20,6,10,2,8,54,0.081871346,0.05263158,0.07017544,0.0058479533,0.0116959065,0.19298245,0.116959065,0.03508772,0.058479533,0.0116959065,0.046783626,0.31578946,other,0.31578946,0.68421054,0.8208498767566357,12
NathanEverett,1312,110,2,6,14,15,0,12,18,2,4,0,0,37,0.018181818,0.054545455,0.12727273,0.13636364,0.0,0.10909091,0.16363636,0.018181818,0.036363635,0.0,0.0,0.33636364,other,0.33636364,0.6636363,0.7498632830964891,9
NCGreenGal,1313,76,23,3,3,1,6,11,1,2,6,0,0,20,0.3026316,0.039473683,0.039473683,0.013157895,0.078947365,0.14473684,0.013157895,0.02631579,0.078947365,0.0,0.0,0.2631579,bgg_golden_age_canon,0.3026316,0.7368421,0.747930197069753,10
Nchampou,1314,66,2,1,16,19,0,0,2,0,3,2,0,21,0.030303031,0.015151516,0.24242425,0.28787878,0.0,0.0,0.030303031,0.0,0.045454547,0.030303031,0.0,0.3181818,other,0.3181818,0.6818182,0.6391420929641121,8
nekra6666,1315,66,12,4,0,10,1,7,2,15,1,2,0,12,0.18181819,0.060606062,0.0,0.15151516,0.015151516,0.10606061,0.030303031,0.22727273,0.015151516,0.030303031,0.0,0.18181819,medium_worker_placement_euros,0.22727273,0.8181818,0.8005526893559695,10
Nemesis_Rex,1316,215,1,39,55,30,0,4,7,9,5,7,6,52,0.004651163,0.18139535,0.25581396,0.13953489,0.0,0.018604651,0.03255814,0.041860465,0.023255814,0.03255814,0.027906977,0.24186046,dungeon_crawl_cooperative_campaign_adventure,0.25581396,0.75813955,0.7721850416970639,11
netfilterz,1317,140,29,18,11,35,7,3,3,13,2,1,1,17,0.20714286,0.12857144,0.07857143,0.25,0.05,0.021428572,0.021428572,0.092857145,0.014285714,0.007142857,0.007142857,0.12142857,current_heavy_euro_engine_builders,0.25,0.87857145,0.8285143865505932,12
Neugierskalle,1318,171,22,2,6,32,1,8,21,5,5,13,2,54,0.12865497,0.0116959065,0.03508772,0.1871345,0.0058479533,0.046783626,0.12280702,0.029239766,0.029239766,0.07602339,0.0116959065,0.31578946,other,0.31578946,0.68421054,0.8034012507679446,12
nick0d3mus,1319,81,1,1,3,20,0,2,7,1,1,2,2,41,0.012345679,0.012345679,0.037037037,0.24691358,0.0,0.024691358,0.086419754,0.012345679,0.012345679,0.024691358,0.024691358,0.50617284,other,0.50617284,0.49382716,0.6096221734780276,11
NickFTFW,1320,265,7,13,15,59,3,19,29,25,22,3,5,65,0.026415095,0.049056605,0.056603774,0.22264151,0.011320755,0.071698114,0.109433964,0.094339624,0.08301887,0.011320755,0.018867925,0.24528302,other,0.24528302,0.754717,0.8540959820689678,12
nietendon,1321,13,0,0,7,1,0,1,0,0,0,0,0,4,0.0,0.0,0.53846157,0.07692308,0.0,0.07692308,0.0,0.0,0.0,0.0,0.0,0.30769232,dungeon_crawl_cooperative_campaign_adventure,0.53846157,0.6923077,0.4388894921986332,4
Nilcraban,1322,195,15,5,18,34,0,11,18,14,4,13,3,60,0.07692308,0.025641026,0.092307694,0.17435898,0.0,0.056410257,0.092307694,0.071794875,0.020512821,0.06666667,0.015384615,0.30769232,other,0.30769232,0.6923077,0.8346754116422821,11
Nin_ni,1323,31,7,4,2,0,0,1,4,4,0,3,0,6,0.22580644,0.12903225,0.06451613,0.0,0.0,0.032258064,0.12903225,0.12903225,0.0,0.09677419,0.0,0.19354838,bgg_golden_age_canon,0.22580644,0.8064516,0.7888141389949812,8
noael,1324,83,3,0,8,22,0,0,15,3,1,0,0,31,0.036144577,0.0,0.09638554,0.26506025,0.0,0.0,0.18072289,0.036144577,0.012048192,0.0,0.0,0.37349397,other,0.37349397,0.62650603,0.6228411333612655,7
noktus,1325,55,7,1,3,11,0,5,3,1,1,1,0,22,0.12727273,0.018181818,0.054545455,0.2,0.0,0.09090909,0.054545455,0.018181818,0.018181818,0.018181818,0.0,0.4,other,0.4,0.6,0.7153245359429757,10
nowinskp,1326,58,5,9,4,3,3,4,5,1,4,0,2,18,0.0862069,0.15517241,0.06896552,0.05172414,0.05172414,0.06896552,0.0862069,0.01724138,0.06896552,0.0,0.03448276,0.31034482,other,0.31034482,0.6896552,0.8534012320543458,11
Noxiss,1327,108,2,14,7,12,1,5,8,10,2,2,2,43,0.018518519,0.12962963,0.06481481,0.11111111,0.009259259,0.046296295,0.074074075,0.09259259,0.018518519,0.018518519,0.018518519,0.39814815,other,0.39814815,0.6018518,0.7836115254343043,12
nunomendonca,1328,76,3,0,0,8,0,10,7,0,5,0,0,43,0.039473683,0.0,0.0,0.10526316,0.0,0.13157895,0.09210526,0.0,0.065789476,0.0,0.0,0.56578946,other,0.56578946,0.43421054,0.5442243788237799,6
Nuttycomputer,1329,63,5,13,4,0,1,14,1,0,5,0,6,14,0.07936508,0.20634921,0.06349207,0.0,0.015873017,0.22222222,0.015873017,0.0,0.07936508,0.0,0.0952381,0.22222222,party_family_social_deduction,0.22222222,0.7777778,0.7754078911641474,9
nwrex,1330,91,4,2,7,7,0,6,26,2,3,2,0,32,0.043956045,0.021978023,0.07692308,0.07692308,0.0,0.06593407,0.2857143,0.021978023,0.032967035,0.021978023,0.0,0.35164836,other,0.35164836,0.64835167,0.7247313417617254,10
obelonzky,1331,404,56,55,26,13,10,54,12,27,22,5,4,120,0.13861386,0.13613862,0.06435644,0.03217822,0.024752475,0.13366337,0.02970297,0.066831686,0.054455444,0.012376238,0.00990099,0.2970297,other,0.2970297,0.70297027,0.8440681132969453,12
Obiblion,1332,25,0,3,11,1,0,0,0,0,0,0,0,10,0.0,0.12,0.44,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,dungeon_crawl_cooperative_campaign_adventure,0.44,0.6,0.44707292968960527,4
Obja,1333,42,3,1,6,1,0,2,3,0,2,4,1,19,0.071428575,0.023809524,0.14285715,0.023809524,0.0,0.04761905,0.071428575,0.0,0.04761905,0.0952381,0.023809524,0.45238096,other,0.45238096,0.54761904,0.7222441156011059,10
Oleg91,1334,80,3,6,8,7,1,9,4,2,5,1,0,34,0.0375,0.075,0.1,0.0875,0.0125,0.1125,0.05,0.025,0.0625,0.0125,0.0,0.425,other,0.425,0.575,0.7626488517608281,11
optmsprim2,1335,242,5,8,24,27,40,13,18,8,27,0,5,67,0.020661157,0.03305785,0.09917355,0.11157025,0.16528925,0.053719006,0.07438017,0.03305785,0.11157025,0.0,0.020661157,0.2768595,other,0.2768595,0.7231405,0.8482091726300601,11
OrigamiGoblin,1336,92,2,6,3,4,2,8,16,0,11,3,2,35,0.02173913,0.06521739,0.032608695,0.04347826,0.02173913,0.08695652,0.17391305,0.0,0.11956522,0.032608695,0.02173913,0.38043478,other,0.38043478,0.61956525,0.7748837823456316,11
Orvenwolf,1337,59,15,1,0,2,7,3,3,2,8,1,0,17,0.2542373,0.016949153,0.0,0.033898305,0.118644066,0.050847456,0.050847456,0.033898305,0.13559322,0.016949153,0.0,0.2881356,other,0.2881356,0.7118644,0.7650811484388662,10
oskarmonk,1338,451,44,17,13,84,4,11,64,47,17,15,10,125,0.09756097,0.037694015,0.028824834,0.18625277,0.0088691795,0.024390243,0.14190687,0.10421286,0.037694015,0.033259425,0.022172948,0.27716187,other,0.27716187,0.72283816,0.8402587416865965,12
otroarlequin,1339,108,2,10,8,7,2,10,6,0,7,0,4,52,0.018518519,0.09259259,0.074074075,0.06481481,0.018518519,0.09259259,0.055555556,0.0,0.06481481,0.0,0.037037037,0.4814815,other,0.4814815,0.5185185,0.7124762623710841,10
P3t3 th3 H3at,1340,307,30,16,7,61,37,6,16,24,21,2,3,84,0.09771987,0.052117262,0.022801302,0.19869708,0.12052117,0.019543974,0.052117262,0.078175895,0.06840391,0.0065146578,0.009771987,0.27361563,other,0.27361563,0.7263844,0.8409931176860326,12
painkiller,1341,242,27,16,10,21,8,26,28,24,9,4,9,60,0.11157025,0.0661157,0.041322313,0.08677686,0.03305785,0.10743801,0.11570248,0.09917355,0.037190083,0.016528925,0.037190083,0.24793388,other,0.24793388,0.75206614,0.9085200174638086,12
papadjango,1342,84,5,3,1,33,1,1,3,19,0,0,1,17,0.05952381,0.035714287,0.011904762,0.39285713,0.011904762,0.011904762,0.035714287,0.22619048,0.0,0.0,0.011904762,0.20238096,current_heavy_euro_engine_builders,0.39285713,0.79761904,0.6614027814936598,10
PapaPolski,1343,139,1,4,24,3,2,5,21,1,10,2,4,62,0.007194245,0.02877698,0.17266187,0.021582734,0.01438849,0.035971224,0.15107913,0.007194245,0.07194245,0.01438849,0.02877698,0.44604316,other,0.44604316,0.55395687,0.6993863507919017,12
PapaReally,1344,117,7,11,29,8,1,15,11,0,8,1,0,26,0.05982906,0.094017096,0.24786325,0.06837607,0.008547009,0.12820514,0.094017096,0.0,0.06837607,0.008547009,0.0,0.22222222,dungeon_crawl_cooperative_campaign_adventure,0.24786325,0.7777778,0.806735062587177,10
PappyGarcia,1345,107,16,10,3,5,3,17,7,7,5,2,0,32,0.1495327,0.093457945,0.028037382,0.046728972,0.028037382,0.1588785,0.06542056,0.06542056,0.046728972,0.018691588,0.0,0.2990654,other,0.2990654,0.7009346,0.8357830202831875,11
parabolic,1346,91,6,9,13,6,7,3,1,15,1,0,7,23,0.06593407,0.0989011,0.14285715,0.06593407,0.07692308,0.032967035,0.010989011,0.16483517,0.010989011,0.0,0.07692308,0.25274727,other,0.25274727,0.7472527,0.8517003850015625,11
paulrbolton,1347,106,6,10,8,21,3,3,5,8,1,3,2,36,0.056603774,0.094339624,0.0754717,0.1981132,0.028301887,0.028301887,0.047169812,0.0754717,0.009433962,0.028301887,0.018867925,0.33962265,other,0.33962265,0.6603774,0.8163034426394058,12
paulyjones25,1348,622,50,27,22,97,82,40,57,83,15,22,3,124,0.08038585,0.04340836,0.035369776,0.15594855,0.1318328,0.06430868,0.09163987,0.13344051,0.024115756,0.035369776,0.004823151,0.19935691,other,0.19935691,0.8006431,0.8987972591801853,12
pbice,1349,85,11,4,4,3,33,6,2,1,11,1,1,8,0.12941177,0.047058824,0.047058824,0.03529412,0.3882353,0.07058824,0.023529412,0.011764706,0.12941177,0.011764706,0.011764706,0.09411765,historical_wargames_conflict_strategy,0.3882353,0.90588236,0.7874758745005817,12
