pair_set,n_pairs,mean_mechanics_jaccard,mean_categories_jaccard,share_any_mechanic,share_any_category
behavioral_backbone_edges,214379,0.09097852175014108,0.09818012163296223,0.6433326025403607,0.37950079065580117
random_game_pairs,199932,0.06533532167312336,0.057613592242274005,0.49005661925054517,0.24511333853510192
