label,alpha,resolution,n_seeds,nodes,edges,isolates,non_isolate_nodes,giant_component_nodes,giant_component_fraction,density,average_degree,median_degree,max_degree,representative_seed,representative_modularity,representative_n_communities,median_seed_modularity,median_seed_n_communities,median_pairwise_nmi,n_communities,largest_community_size,largest_community_fraction,singleton_communities,max_tag_modularity,mean_top10_tag_modularity,positive_tag_modularity_count,stability_pass_nmi_0p70,largest_community_le_75pct,elapsed_seconds
merged_ownership_newman_disparity_a0p001,0.001,0.75,20,2500,30530,28,2472,2472,0.9888,0.009773509403761505,24.424,12.0,1619.0,7,0.35106255660088703,32,0.3479357524795428,32.0,0.7649936764528873,32,1240,0.496,28,0.0802978485198859,0.041404332714650285,189,True,True,18.721
merged_ownership_newman_disparity_a0p001,0.001,1.25,20,2500,30530,28,2472,2472,0.9888,0.009773509403761505,24.424,12.0,1619.0,2,0.19389966252375557,36,0.1895259778886315,37.0,0.6133143507659763,36,618,0.2472,28,0.0802978485198859,0.041404332714650285,189,False,True,19.248
merged_ownership_newman_disparity_a0p025,0.025,0.75,20,2500,214379,0,2500,2500,1.0,0.06862873149259704,171.5032,94.0,2486.0,8,0.28434439153540136,2,0.2838621226019727,2.0,0.8231321959918314,2,1405,0.562,0,0.05035555740972984,0.03063943660216137,216,True,True,109.029
merged_ownership_newman_disparity_a0p025,0.025,1.25,20,2500,214379,0,2500,2500,1.0,0.06862873149259704,171.5032,94.0,2486.0,4,0.12428792680208935,15,0.12210785614443642,16.0,0.6918632669964834,15,631,0.2524,0,0.05035555740972984,0.03063943660216137,216,False,True,122.702
merged_ownership_newman_disparity_a0p05,0.05,0.75,20,2500,337995,0,2500,2500,1.0,0.1082016806722689,270.396,153.5,2499.0,10,0.27490668912381944,2,0.2746041997100076,2.0,0.8170871322570679,2,1404,0.5616,0,0.04434756368851013,0.027410776846470523,217,True,True,157.599
merged_ownership_newman_disparity_a0p05,0.05,1.25,20,2500,337995,0,2500,2500,1.0,0.1082016806722689,270.396,153.5,2499.0,16,0.1080149139758843,20,0.1067696783194452,19.0,0.7177198889402019,20,548,0.2192,0,0.04434756368851013,0.027410776846470523,217,True,True,206.286
