label,alpha,resolution,n_seeds,nodes,edges,isolates,non_isolate_nodes,giant_component_nodes,giant_component_fraction,density,average_degree,median_degree,max_degree,representative_seed,representative_modularity,representative_n_communities,median_seed_modularity,median_seed_n_communities,median_pairwise_nmi,n_communities,largest_community_size,largest_community_fraction,singleton_communities,max_tag_modularity,mean_top10_tag_modularity,positive_tag_modularity_count,stability_pass_nmi_0p70,largest_community_le_75pct,elapsed_seconds
merged_ownership_newman_disparity_a0p025,0.025,0.5,10,2500,214379,0,2500,2500,1.0,0.06862873149259704,171.5032,94.0,2486.0,0,0.5,1,0.5,1.0,1.0,1,2500,1.0,0,0.05035555740972984,0.03063943660216137,216,True,False,45.385
merged_ownership_newman_disparity_a0p025,0.025,0.75,10,2500,214379,0,2500,2500,1.0,0.06862873149259704,171.5032,94.0,2486.0,8,0.28434439153540136,2,0.2838269109221547,2.0,0.8348652831667012,2,1405,0.562,0,0.05035555740972984,0.03063943660216137,216,True,True,46.322
merged_ownership_newman_disparity_a0p025,0.025,1.0,10,2500,214379,0,2500,2500,1.0,0.06862873149259704,171.5032,94.0,2486.0,9,0.1763592395243216,4,0.1754675832752725,4.5,0.6285849254574583,4,825,0.33,0,0.05035555740972984,0.03063943660216137,216,False,True,58.059
merged_ownership_newman_disparity_a0p025,0.025,1.25,10,2500,214379,0,2500,2500,1.0,0.06862873149259704,171.5032,94.0,2486.0,4,0.12428792680208935,15,0.12227626647221225,16.0,0.7098689698813855,15,631,0.2524,0,0.05035555740972984,0.03063943660216137,216,True,True,55.294
merged_ownership_newman_disparity_a0p025,0.025,1.5,10,2500,214379,0,2500,2500,1.0,0.06862873149259704,171.5032,94.0,2486.0,4,0.09384050629919519,30,0.09335082635099697,32.0,0.669118143356293,30,422,0.1688,0,0.05035555740972984,0.03063943660216137,216,False,True,62.675
merged_ownership_newman_disparity_a0p025,0.025,2.0,10,2500,214379,0,2500,2500,1.0,0.06862873149259704,171.5032,94.0,2486.0,5,0.06400947249887338,58,0.06324592500550985,60.0,0.741965986763491,58,306,0.1224,0,0.05035555740972984,0.03063943660216137,216,True,True,30.365
merged_ownership_newman_disparity_a0p05,0.05,0.5,10,2500,337995,0,2500,2500,1.0,0.1082016806722689,270.396,153.5,2499.0,0,0.5,1,0.5,1.0,1.0,1,2500,1.0,0,0.04434756368851013,0.027410776846470523,217,True,False,75.298
merged_ownership_newman_disparity_a0p05,0.05,0.75,10,2500,337995,0,2500,2500,1.0,0.1082016806722689,270.396,153.5,2499.0,5,0.2746109922797517,2,0.2746041997100076,2.0,0.8828352364568686,2,1338,0.5352,0,0.04434756368851013,0.027410776846470523,217,True,True,90.193
merged_ownership_newman_disparity_a0p05,0.05,1.0,10,2500,337995,0,2500,2500,1.0,0.1082016806722689,270.396,153.5,2499.0,4,0.16159976811606916,4,0.15998411523699277,4.0,0.5917146073913861,4,817,0.3268,0,0.04434756368851013,0.027410776846470523,217,False,True,81.598
merged_ownership_newman_disparity_a0p05,0.05,1.25,10,2500,337995,0,2500,2500,1.0,0.1082016806722689,270.396,153.5,2499.0,9,0.10801380114762245,19,0.10681139103155123,19.0,0.716762708128228,19,560,0.224,1,0.04434756368851013,0.027410776846470523,217,True,True,114.264
merged_ownership_newman_disparity_a0p05,0.05,1.5,10,2500,337995,0,2500,2500,1.0,0.1082016806722689,270.396,153.5,2499.0,3,0.0806108188000385,41,0.07945682076063695,42.5,0.696935010984593,41,388,0.1552,3,0.04434756368851013,0.027410776846470523,217,False,True,111.431
merged_ownership_newman_disparity_a0p05,0.05,2.0,10,2500,337995,0,2500,2500,1.0,0.1082016806722689,270.396,153.5,2499.0,5,0.05325491606698742,81,0.052540161786887606,82.0,0.782308613619841,81,298,0.1192,4,0.04434756368851013,0.027410776846470523,217,True,True,126.036
