replicate,gamma,null_modularity,null_n_communities,requested_swaps,swaps_per_edge,replicate_elapsed_seconds
16,2.0,0.06538085728291138,129,214379,1.0,141.654
17,0.75,0.25,1,214379,1.0,95.342
17,1.0,0.08272743337176015,21,214379,1.0,104.763
17,1.25,0.07490463546695895,60,214379,1.0,114.364
17,1.5,0.07097653386323148,85,214379,1.0,124.436
17,1.75,0.0682224320797985,113,214379,1.0,136.964
17,2.0,0.0659779839356751,128,214379,1.0,147.482
18,0.75,0.25,1,214379,1.0,102.238
18,1.0,0.08266406329425947,20,214379,1.0,111.871
18,1.25,0.07458899679952088,57,214379,1.0,123.356
18,1.5,0.07045088599734542,88,214379,1.0,133.585
18,1.75,0.06769223604405822,111,214379,1.0,143.478
18,2.0,0.0652644082694596,127,214379,1.0,153.187
19,0.75,0.25,1,214379,1.0,105.146
19,1.0,0.08231919955421828,20,214379,1.0,117.67
19,1.25,0.07441294051796801,59,214379,1.0,127.357
19,1.5,0.07053820222116886,85,214379,1.0,135.532
19,1.75,0.06755449684485226,111,214379,1.0,145.395
19,2.0,0.06520845848702568,129,214379,1.0,154.595
