level_0,level_1,seed,n_communities,modularity,representative,median_pairwise_nmi,seed_i,seed_j,nmi
pairwise,70,,,,,,4.0,5.0,0.8074729866493864
pairwise,71,,,,,,4.0,6.0,0.8020961588916752
pairwise,72,,,,,,4.0,7.0,0.6914574455258023
pairwise,73,,,,,,4.0,8.0,0.851896695141539
pairwise,74,,,,,,4.0,9.0,0.7810137370419583
pairwise,75,,,,,,4.0,10.0,0.698134565344769
pairwise,76,,,,,,4.0,11.0,0.759156766490123
pairwise,77,,,,,,4.0,12.0,0.8141972953324565
pairwise,78,,,,,,4.0,13.0,0.8449593283881048
pairwise,79,,,,,,4.0,14.0,0.7811079691185814
pairwise,80,,,,,,4.0,15.0,0.7630221944985579
pairwise,81,,,,,,4.0,16.0,0.7767164452081511
pairwise,82,,,,,,4.0,17.0,0.8124909028235529
pairwise,83,,,,,,4.0,18.0,0.8134982573545291
pairwise,84,,,,,,4.0,19.0,0.7046843201762936
pairwise,85,,,,,,5.0,6.0,0.7878270629227494
pairwise,86,,,,,,5.0,7.0,0.6913335982306634
pairwise,87,,,,,,5.0,8.0,0.8406953650463611
pairwise,88,,,,,,5.0,9.0,0.80164099278193
pairwise,89,,,,,,5.0,10.0,0.7015890780711487
pairwise,90,,,,,,5.0,11.0,0.7280645440295945
pairwise,91,,,,,,5.0,12.0,0.7839811762218528
pairwise,92,,,,,,5.0,13.0,0.7819512647863703
pairwise,93,,,,,,5.0,14.0,0.7951919075086119
pairwise,94,,,,,,5.0,15.0,0.7021990176346803
pairwise,95,,,,,,5.0,16.0,0.7916813986477894
pairwise,96,,,,,,5.0,17.0,0.7706309786371695
pairwise,97,,,,,,5.0,18.0,0.7891679206166858
pairwise,98,,,,,,5.0,19.0,0.7155119939963375
pairwise,99,,,,,,6.0,7.0,0.7408275276643107
pairwise,100,,,,,,6.0,8.0,0.7977652604600997
pairwise,101,,,,,,6.0,9.0,0.7781964107985658
pairwise,102,,,,,,6.0,10.0,0.7165488805916645
